epoch;accuracy;loss;mae;val_accuracy;val_loss;val_mae
0;0.0;6.758175849914551;6.758175849914551;0.0;1.5051976442337036;1.5051977634429932
1;0.0;1.7368199825286865;1.7368199825286865;0.0;0.7690280079841614;0.7690280079841614
2;0.0;0.8289894461631775;0.8289894461631775;0.0;0.6271935105323792;0.6271935105323792
3;0.0;0.7143750190734863;0.7143750190734863;0.0;0.6361312866210938;0.6361312866210938
4;0.0;0.6965594291687012;0.6965594291687012;0.0;0.6318826675415039;0.6318826675415039
5;0.0;0.702115535736084;0.702115535736084;0.0;0.6139668822288513;0.6139668822288513
6;0.0;0.6973916292190552;0.6973916292190552;0.0;0.6144202947616577;0.6144202947616577
7;0.0;0.6880974769592285;0.6880974769592285;0.0;0.6178846955299377;0.6178846955299377
8;0.0;0.6981683969497681;0.6981683969497681;0.0;0.6160590052604675;0.6160590052604675
9;0.0;0.6908600926399231;0.6908600926399231;0.0;0.6298114061355591;0.6298114061355591
10;0.0;0.6861760020256042;0.6861760020256042;0.0;0.6376734972000122;0.6376734972000122
11;0.0;0.6926270127296448;0.6926270127296448;0.0;0.6262460947036743;0.6262460947036743
12;0.0;0.6904383301734924;0.6904383301734924;0.0;0.6175159811973572;0.6175159811973572
13;0.0;0.6938549876213074;0.6938549876213074;0.0;0.6090197563171387;0.6090197563171387
14;0.0;0.686508059501648;0.686508059501648;0.0;0.6090288162231445;0.6090288162231445
15;0.0;0.6843574643135071;0.6843574643135071;0.0;0.6077873706817627;0.6077873706817627
16;0.0;0.6884374618530273;0.6884374618530273;0.0;0.6079133749008179;0.6079133749008179
17;0.0;0.6906591057777405;0.6906591057777405;0.0;0.61045902967453;0.61045902967453
18;0.0;0.6882006525993347;0.6882006525993347;0.0;0.6209983229637146;0.6209983229637146
19;0.0;0.6820643544197083;0.6820643544197083;0.0;0.6240360736846924;0.6240360140800476
20;0.0;0.6863096952438354;0.6863096952438354;0.0;0.6191865801811218;0.6191865801811218
21;0.0;0.6788793802261353;0.6788793802261353;0.0;0.6128545999526978;0.6128545999526978
22;0.0;0.6849747896194458;0.6849747896194458;0.0;0.6400294899940491;0.6400294899940491
