month_year;sentiment
2015-01;0.41226156671593417
2015-02;0.4181541528640924
2015-03;0.4326621462673328
2015-04;0.45654125330515904
2015-05;0.47537059004647136
2015-06;0.47493764585881637
2015-07;0.45122540339732614
2015-08;0.4308385947638851
2015-09;0.4436735951786271
2015-10;0.467341624785104
2015-11;0.46817422988682134
2015-12;0.44355859018442384
2016-01;0.45291844709073137
2016-02;0.4440294716445632
2016-03;0.44843106877473954
2016-04;0.4692816049141061
2016-05;0.4832391511136224
2016-06;0.446423275732784
2016-07;0.4608851215251455
2016-08;0.43709568674477917
2016-09;0.438294483096184
2016-10;0.4711527966279187
2016-11;0.462485933180086
2016-12;0.4478212004809625
2017-01;0.4578259637674889
2017-02;0.45127370413590767
2017-03;0.4337909425198997
2017-04;0.45243997367900707
2017-05;0.4623514567147364
2017-06;0.42246699856629066
2017-07;0.4522449077745551
2017-08;0.4239046229406386
2017-09;0.4321694564503813
2017-10;0.44840944219434326
2017-11;0.450519489722247
2017-12;0.422823082654788
2018-01;0.4259599443602071
2018-02;0.44635517494082777
2018-03;0.4255422184516881
2018-04;0.48282857186845607
2018-05;0.4764668809372962
2018-06;0.45078884949311876
2018-07;0.454620533718648
2018-08;0.48457640341428965
2018-09;0.4253437892685519
2018-10;0.4513378523925096
2018-11;0.42717600127673483
2018-12;0.46405923819574657
2019-01;0.4403070839227914
2019-02;0.4473215300027244
2019-03;0.4559589193320289
2019-04;0.4553880984797169
2019-05;0.44525235234714633
2019-06;0.44795760059044404
2019-07;0.4309725381346776
2019-08;0.46827889396890765
2019-09;0.41240900391577523
2019-10;0.4531684489970737
2019-11;0.47728003075970854
2019-12;0.4295981626746592
2020-01;0.44265433603124993
2020-02;0.43827681937341123
2020-03;0.40838653287638355
2020-04;0.3927437637734098
2020-05;0.4195473123278353
