trimester;sentiment
2015-01-01;0.427573283978508
2015-04-01;0.4697994215951159
2015-07-01;0.44365757114602344
2015-10-01;0.4606997025234514
2016-01-01;0.44816088398658627
2016-04-01;0.4655915707786761
2016-07-01;0.445226406667794
2016-10-01;0.46158934083999237
2017-01-01;0.44641669057787625
2017-04-01;0.4449681962999738
2017-07-01;0.43726312462583933
2017-10-01;0.44304038459854395
2018-01-01;0.43281784409068397
2018-04-01;0.46968541639614897
2018-07-01;0.4474243279343161
2018-10-01;0.4455797607372846
2019-01-01;0.4483609210370608
2019-04-01;0.44969242001814713
2019-07-01;0.42782372040907657
2019-10-01;0.4546970615684755
2020-01-01;0.428585668575281
2020-04-01;0.40302243269903676
