month_year;sentiment
2007-11;0.30207738392851496
2007-12;0.3026135280455435
2008-01;0.30847580884837794
2008-02;0.3269550223204366
2008-03;0.3300034860839277
2008-04;0.31902067089379843
2008-05;0.3250730972586543
2008-06;0.26843874407486173
2008-07;0.28017032319207574
2008-08;0.2990535405844683
2008-09;0.3949700148329542
2008-10;0.31125691058052823
2008-11;0.32090866407376045
2008-12;0.332119610973335
2009-01;0.29124126026948816
2009-02;0.3200096175178974
2009-03;0.35213089212131116
2009-04;0.3112005275407355
2009-05;0.2681223784410099
2009-06;0.2495324916338425
2009-07;0.2634603921112927
2009-08;0.2805517149373485
2009-09;0.3371831010860883
2009-10;0.2230265040843543
2009-11;0.2445464456780299
2009-12;0.23995150937346413
2010-01;0.1931016350783473
2010-02;0.16834373469828082
2010-03;0.25808875670541187
2010-04;0.2734039694594246
2010-05;0.24554203309051098
2010-06;0.2145207112605953
2010-07;0.21044859411270192
2010-08;0.23691584748599673
2010-09;0.22577914298284676
2010-10;0.2615648553600351
2010-11;0.3145782746997773
2010-12;0.29683455114587914
2011-01;0.27948619226156607
2011-02;0.2820407855922915
2011-03;0.26910139759953555
2011-04;0.306082540878942
2011-05;0.262502571555184
2011-06;0.23539386273729912
2011-07;0.23960380092864791
2011-08;0.24589393454115757
2011-09;0.2342802508599861
2011-10;0.237059712310531
2011-11;0.2270138221668246
2011-12;0.1974101984482108
2012-01;0.21906404282847236
2012-02;0.21478937380483581
2012-03;0.20967749873712058
2012-04;0.2254446311837619
2012-05;0.2350369132817973
2012-06;0.24925515196882464
2012-07;0.23599049326680474
2012-08;0.25242252274966
2012-09;0.2439057641556123
2012-10;0.22696353195922833
2012-11;0.1834142905696112
2012-12;0.16014670893255226
2013-01;0.18496953376998554
2013-02;0.15221883625763272
2013-03;0.17390785196192274
2013-04;0.19187672695766014
2013-05;0.20052265721250925
2013-06;0.19942790091735615
2013-07;0.1605294027466191
2013-08;0.1741459531330773
2013-09;0.1709074851787801
2013-10;0.17422339276806242
2013-11;0.18571696688874303
2013-12;0.1747638693295677
2014-01;0.17918496114558188
2014-02;0.18567856314788717
2014-03;0.18706239426798613
2014-04;0.18707312327931225
2014-05;0.1795102201917486
2014-06;0.18920834283797897
2014-07;0.19330683342450386
2014-08;0.20333422211682933
2014-09;0.19621278527464328
2014-10;0.2000088219903847
2014-11;0.19804134080859653
2014-12;0.19909943294127044
2015-01;0.2058066047985157
2015-02;0.20719597997212466
2015-03;0.2059381878040662
2015-04;0.2059444431799264
2015-05;0.212838444006417
2015-06;0.20060078264685624
2015-07;0.2130614377977884
2015-08;0.19341092121610792
2015-09;0.20552367975292024
2015-10;0.2101723992759909
2015-11;0.21083385469081126
2015-12;0.20601517589073215
2016-01;0.21047431105551828
2016-02;0.20644387602336614
2016-03;0.20370522278671827
2016-04;0.21721005930727838
2016-05;0.21740835440244818
2016-06;0.20403057488587065
2016-07;0.19189278243168695
2016-08;0.1928373606966377
2016-09;0.21057980737810847
2016-10;0.19650278261749207
2016-11;0.1982128493936793
2016-12;0.2092693772782524
2017-01;0.19593260888141525
2017-02;0.1934459332710353
2017-03;0.19112321345706137
2017-04;0.19611085274039491
2017-05;0.20720540529656092
2017-06;0.19914828188577985
2017-07;0.1853585272607901
2017-08;0.1815126006440744
2017-09;0.20213609976242602
2017-10;0.2111823093337291
2017-11;0.20975441838451753
2017-12;0.18332499854984124
2018-01;0.17717800870594022
2018-02;0.1746065361118817
2018-03;0.16136955983778586
2018-04;0.1722869783453993
2018-05;0.16401967088946548
2018-06;0.158492827181418
2018-07;0.15502401786580164
2018-08;0.1519280192920574
2018-09;0.18499803333542794
2018-10;0.1744926891517131
2018-11;0.16695516737717264
2018-12;0.1618885726165286
2019-01;0.17127061532917964
2019-02;0.17519120674965197
2019-03;0.17037455371252858
2019-04;0.16721886404164676
2019-05;0.15752060288720068
2019-06;0.1679848523950633
2019-07;0.16030488588303762
2019-08;0.15707451761436678
2019-09;0.15141309124863742
2019-10;0.16736923413260094
2019-11;0.1441076329717626
2019-12;0.14140324094431314
2020-01;0.13505014698269108
2020-02;0.14483041674544186
2020-03;0.1146595956363199
2020-04;0.10000126055423739
2020-05;0.09791962240358056
2020-06;0.13048326821153164
2020-07;0.13255464284908489
2020-08;0.11004576070523324
2020-09;0.1169672582995558
2020-10;0.12874413430744186
2020-11;0.12467757296149191
2020-12;0.11746793264012154
2021-01;0.22067245749495853
