trimester;sentiment;sentiment_truncated;favorites;retweets;replies
2015-10-01;0.391301370582158;0.7172897196261683;0.5280373831775701;0.7336448598130841;0.07476635514018691
2016-01-01;0.3526638429715552;0.6759310728182324;0.8187882156753752;0.8382434685936632;0.06503613118399111
2016-04-01;0.3596477108458271;0.6899466192170819;0.9626334519572953;0.9902135231316725;0.07384341637010676
2016-07-01;0.3602709419293287;0.6881642512077295;1.6492753623188405;1.2352657004830918;0.10193236714975845
2016-10-01;0.3393917180446841;0.6441890719861232;2.0880312228967908;1.559410234171726;0.13183000867302688
2017-01-01;0.3133060520631295;0.6169354838709677;2.735215053763441;2.300627240143369;0.14336917562724014
2017-04-01;0.33393163926409136;0.6298054105363076;2.2861888941623163;1.8424299952539156;0.140484100616991
2017-07-01;0.33881915410103813;0.6329628046173579;2.3330483112441214;1.62248824283882;0.13852073535699017
2017-10-01;0.28443246945290684;0.5514018691588785;2.2496662216288383;1.493991989319092;0.16154873164218958
2018-01-01;0.2582627605961588;0.49464285714285716;2.7081632653061223;1.8091836734693878;0.3448979591836735
2018-04-01;0.25004472374507597;0.48945147679324896;2.5630567276136897;1.537740271917487;0.2372245663384904
2018-07-01;0.24779815914157421;0.4888667992047714;2.5053677932405565;1.3737574552683898;0.2091451292246521
2018-10-01;0.2689841797584921;0.5086139389193423;2.533672670321065;1.4624119028974158;0.4095536413469068
2019-01-01;0.23203929222446443;0.4628192693178144;3.283220174587779;1.4529582929194957;0.6388619463304236
2019-04-01;0.24862322213311286;0.4673065386922616;4.551889622075585;2.003599280143971;0.5932813437312537
2019-07-01;0.23776854920562399;0.45131748071979433;6.192480719794345;2.9652956298200515;0.7702442159383034
2019-10-01;0.23408839412844631;0.44760056457304165;4.9294283697953425;2.5211714890613974;0.9844742413549753
2020-01-01;0.182372192690011;0.3844758064516129;5.413306451612903;2.2221774193548387;1.15
2020-04-01;0.2000729365904698;0.4139681005316578;19.097148380860318;6.6626389560174;6.2793620106331565
