normalised_date;sentiment;sentiment_truncated;favorites;retweets;replies
2017-01-23;0.46419860422611237;0.75;9.0;3.0;0.0
2017-01-24;0.4637789074822649;0.5;12.0;4.25;0.25
2017-01-25;0.031743384897708886;0.5;6.0;9.0;0.0
2017-01-26;0.5111889044443766;1.0;8.333333333333334;5.0;0.3333333333333333
2017-01-27;0.09348191320896147;0.5;7.0;3.0;0.0
2017-01-28;0.5328571200370789;1.0;3.5;3.0;0.5
2017-01-29;0.5046685338020325;1.0;8.0;6.0;1.0
2017-01-30;0.5720952153205872;0.8333333333333334;3.6666666666666665;2.5;0.16666666666666666
2017-01-31;0.41444435007482144;0.75;19.0;12.5;0.5
2017-02-01;0.35899682795362814;0.7142857142857143;65.71428571428571;35.857142857142854;0.7142857142857143
2017-02-02;0.32865727645791293;0.5833333333333334;10.333333333333334;7.666666666666667;0.3333333333333333
2017-02-03;0.23875400881806855;0.5;8.4;5.0;0.2
2017-02-04;0.9272476434707642;1.0;6.0;5.5;0.0
2017-02-05;0.4655356407165527;0.5;9.0;5.0;0.0
2017-02-06;0.24470039084553719;0.6666666666666666;2.3333333333333335;2.3333333333333335;0.0
2017-02-07;0.29350047931075096;0.6;17.4;10.8;0.0
2017-02-08;0.34500453470779274;0.6666666666666666;49.0;24.333333333333332;1.0
2017-02-09;0.3143792748451233;0.7;5.2;3.0;0.2
2017-02-10;0.4773758062058025;0.7777777777777778;7.777777777777778;6.444444444444445;0.1111111111111111
2017-02-11;0.3268802051898092;0.75;13.5;6.5;0.0
2017-02-12;0.9984454512596129;1.0;12.0;10.0;0.0
2017-02-13;0.4449840448796749;0.75;4.75;4.75;0.0
2017-02-14;0.37857652936145314;0.75;10.5;6.75;0.25
2017-02-15;0.2773513351463919;0.5;11.0;10.25;0.5
2017-02-16;0.41714338461558026;0.8333333333333334;34.0;13.333333333333334;0.0
2017-02-17;0.44035620567608474;0.7;4.2;2.8;0.0
2017-02-18;0.24370899936184287;0.5;12.5;5.5;0.5
2017-02-19;0.4155740439891815;0.5;23.0;15.0;1.0
2017-02-20;0.36170822754502296;0.75;7.25;5.25;0.0
2017-02-21;0.6401850342750549;1.0;18.4;15.2;0.2
2017-02-22;0.268314172513783;0.625;7.75;4.5;0.25
2017-02-23;0.25722269389994573;0.5;5.714285714285714;3.7142857142857144;0.42857142857142855
2017-02-24;0.48499681693101593;0.8333333333333334;6.0;5.666666666666667;0.16666666666666666
2017-02-25;0.6117739677429199;1.0;8.5;5.0;0.5
2017-02-26;1.246444583102857e-07;0.0;4.0;3.0;1.0
2017-02-27;0.2497036509656547;0.5714285714285714;5.714285714285714;3.7142857142857144;0.2857142857142857
2017-02-28;0.2870083476106326;0.6666666666666666;13.0;11.0;0.6666666666666666
2017-03-01;0.5222496365626844;0.8076923076923077;2.5384615384615383;2.0;0.07692307692307693
2017-03-02;0.24522101929728202;0.6111111111111112;54.77777777777778;35.77777777777778;2.5555555555555554
2017-03-03;0.41632717847824097;0.75;9.5;4.75;0.75
2017-03-04;0.29457590728998184;0.75;17.0;16.0;0.5
2017-03-05;0.2538298121726257;0.5;16.0;8.5;0.5
2017-03-06;0.25239637707454676;0.5;31.5;10.0;0.5
2017-03-07;0.5141139725844065;0.8333333333333334;10.0;8.0;0.0
2017-03-08;0.4164298611684;0.6818181818181818;14.0;7.0;0.09090909090909091
2017-03-09;0.385619836350088;0.75;33.5;33.75;3.0
2017-03-10;0.30724853169667765;0.6;5.4;3.2;0.6
2017-03-11;0.3108001183718443;0.75;8.5;4.5;0.0
2017-03-12;0.5047601461410522;1.0;7.0;4.0;0.0
2017-03-13;0.5467154880364736;0.8333333333333334;5.666666666666667;2.8333333333333335;0.16666666666666666
2017-03-14;0.500943973660469;0.75;12.0;7.5;1.0
