normalised_date;sentiment;sentiment_truncated;favorites;retweets;replies
2015-12-15;0.4356902286410332;0.8;0.4;0.4;0.0
2015-12-16;0.36534483890098174;0.7105263157894737;0.631578947368421;0.8947368421052632;0.0
2015-12-17;0.395527809913758;0.7142857142857143;0.7619047619047619;0.8095238095238095;0.047619047619047616
2015-12-18;0.3735229522413151;0.7045454545454546;0.4090909090909091;0.7272727272727273;0.0
2015-12-19;0.272778713144362;0.75;0.6666666666666666;0.0;0.16666666666666666
2015-12-20;0.31674059728781384;0.6666666666666666;1.0;0.6666666666666666;0.0
2015-12-21;0.40552651000748274;0.75;0.5909090909090909;0.6818181818181818;0.045454545454545456
2015-12-22;0.48124151127903086;0.8157894736842105;0.21052631578947367;0.47368421052631576;0.05263157894736842
2015-12-23;0.30140284934216316;0.6052631578947368;0.47368421052631576;0.6842105263157895;0.0
2015-12-24;0.44519161307485433;0.6785714285714286;0.5714285714285714;0.35714285714285715;0.21428571428571427
2015-12-27;0.5047616362571716;1.0;0.0;1.0;0.0
2015-12-28;0.3788488434165629;0.71875;0.8125;1.125;0.0625
2015-12-29;0.27327416378666386;0.525;0.85;1.7;0.4
2015-12-30;0.5342379189454592;0.8846153846153846;0.23076923076923078;0.5384615384615384;0.0
2015-12-31;0.46475565614777486;0.8214285714285714;0.0;0.07142857142857142;0.0
2016-01-03;0.4110182672739029;0.75;0.5;2.0;0.0
2016-01-04;0.4282163370646433;0.75;0.5555555555555556;0.2222222222222222;0.0
2016-01-05;0.29180937409506036;0.6111111111111112;0.6111111111111112;0.7222222222222222;0.05555555555555555
2016-01-06;0.37516022912480906;0.6458333333333334;1.0416666666666667;1.5416666666666667;0.08333333333333333
2016-01-07;0.325597414957762;0.65;0.43333333333333335;0.5;0.13333333333333333
2016-01-08;0.3389767443784276;0.6904761904761905;0.8571428571428571;0.3333333333333333;0.047619047619047616
2016-01-10;0.3336632737579445;0.6666666666666666;1.0;1.3333333333333333;0.0
2016-01-11;0.3336911372003722;0.6730769230769231;0.38461538461538464;0.5;0.038461538461538464
2016-01-12;0.34216580776521066;0.7166666666666667;0.7;0.8333333333333334;0.06666666666666667
2016-01-13;0.36743336130590154;0.6666666666666666;0.7142857142857143;0.9047619047619048;0.09523809523809523
2016-01-14;0.38418009938772335;0.75;0.7941176470588235;0.9117647058823529;0.11764705882352941
2016-01-15;0.3464647757617058;0.66;1.08;0.92;0.04
2016-01-16;0.04731988813728094;0.5;2.0;2.5;0.0
2016-01-17;0.2643550634384155;0.5;1.0;1.0;0.0
2016-01-18;0.2909653779516226;0.6086956521739131;0.9130434782608695;1.173913043478261;0.13043478260869565
2016-01-19;0.25516982070654526;0.5909090909090909;0.6818181818181818;0.7727272727272727;0.0
2016-01-20;0.40956299161586107;0.75;0.9090909090909091;1.0;0.0
2016-01-21;0.42352420010402886;0.7045454545454546;0.36363636363636365;0.45454545454545453;0.0
2016-01-22;0.3864219719690606;0.6590909090909091;0.5;0.5454545454545454;0.09090909090909091
2016-01-23;0.3358096260866053;0.6666666666666666;0.6666666666666666;1.3333333333333333;0.0
2016-01-24;0.2077044835314155;0.5;1.0;1.0;0.0
2016-01-25;0.36721901706306426;0.71875;1.15625;1.125;0.0625
2016-01-26;0.29799382090605403;0.6842105263157895;1.105263157894737;1.2105263157894737;0.0
