Dates;PX_LAST;LAST_PRICE;PX_VOLUME
09/22/2010;;17363.05;11357447
09/23/2010;;17199.41;8595495
09/24/2010;;17315.68;14432545
09/27/2010;;17435.56;12627629
09/28/2010;;17577.07;7525563
09/29/2010;;17709.98;10659173
09/30/2010;;17867.36;15681477
10/01/2010;;18159.8;8923804
10/04/2010;;18169.27;8661177
10/05/2010;;18806.39;14547478
10/06/2010;;18941.78;9467896
10/07/2010;;18855.25;9513627
10/08/2010;;18855.25;9513627
10/11/2010;;19037.31;5719782
10/12/2010;;18995.86;8853965
10/13/2010;;19450.28;15789320
10/14/2010;;19499.49;9773173
10/15/2010;;19293.09;8945932
10/18/2010;;18940.03;5727844
10/19/2010;;18366.71;9096023
10/20/2010;;18777;7432590
10/21/2010;;18487.58;168561527
10/22/2010;;18764.9;6395859
10/25/2010;;18905.22;11231060
10/26/2010;;19039.82;23088996
10/27/2010;;18991.26;18774364
10/28/2010;;18991.32;60252370
10/29/2010;;19220.93;9815909
11/01/2010;;19220.93;9815909
11/02/2010;;19550.99;11968641
11/03/2010;;19631.12;8138541
11/04/2010;;20230.42;16914305
11/05/2010;;20402.51;10586837
11/08/2010;;20390.96;9687737
11/09/2010;;20606.72;14834743
11/10/2010;;20588.95;7820444
11/11/2010;;20595.34;12276298
11/12/2010;;20248.41;13806554
11/15/2010;;20151.46;5176381
11/16/2010;;19563.53;8640537
11/17/2010;;19915.13;5380169
11/18/2010;;20292.13;11229840
11/19/2010;;20384.52;4366751
11/22/2010;;20417.52;6138363
11/23/2010;;20179.45;8531256
11/24/2010;;20441.13;13771970
11/25/2010;;20768.71;5733971
11/26/2010;;20704.46;13554130
11/29/2010;;20804.26;4714660
11/30/2010;;20854.5;19472510
12/01/2010;;21366.22;10769709
12/02/2010;;21547.34;15713083
12/03/2010;;21651.12;14366769
12/06/2010;;21727.17;40387256
12/07/2010;;21915.33;9512711
12/08/2010;;21915.33;9512711
12/09/2010;;21807.69;6455653
12/10/2010;;21843.42;7631275
12/13/2010;;22085.82;29536695
12/14/2010;;22032.85;46466527
12/15/2010;;21972.9;26463229
