month_year;sentiment
2009-09;0.3598881818031379
2009-10;0.34004814980111475
2009-11;0.2420432104273787
2010-03;0.24694584762683663
2010-04;0.30056549895390805
2010-06;0.0883837982596481
2010-07;0.476274846147745
2010-08;0.29604222222734583
2010-09;0.4363659454189128
2010-10;0.3740856340462866
2010-11;0.3938340680236377
2010-12;0.324818204778052
2011-01;0.39193781177115633
2011-02;0.3879263895126716
2011-03;0.34198620471314284
2011-04;0.30179390239351667
2011-05;0.32146568937204123
2011-06;0.22178490231945064
2011-07;0.2218950814697881
2011-08;0.22239103685754097
2011-09;0.28372597703047986
2011-10;0.2884887603121249
2011-11;0.2781208547169438
2011-12;0.2901737154487074
2012-01;0.35603937940155517
2012-02;0.3208028878302657
2012-03;0.2524714040902252
2012-04;0.3231439017999732
2012-05;0.28753952045026027
2012-06;0.4197702914355635
2012-07;0.4794354069806587
2012-08;0.4474349900531654
2012-09;0.4316140678467254
2012-10;0.4300780088893629
2012-11;0.31323021321861005
2012-12;0.25612291692181116
2013-01;0.2937800812611695
2013-02;0.33491790775616237
2013-03;0.3307824465532992
2013-04;0.32111997649490176
2013-05;0.28771584931074523
2013-06;0.276944591563464
2013-07;0.24671997623314898
2013-08;0.24853482992166004
2013-09;0.313439853116472
2013-10;0.3048891447873388
2013-11;0.30835342374230634
2013-12;0.3124916722855839
2014-01;0.3261870068924546
2014-02;0.3531583753411957
2014-03;0.31907875813752407
2014-04;0.33215970723828353
2014-05;0.3069425760194802
2014-06;0.28275004215507626
2014-07;0.2908854488924296
2014-08;0.280458262546829
2014-09;0.3482077423227163
2014-10;0.2804114528001067
2014-11;0.28969318684118334
2014-12;0.3191228550751295
2015-01;0.29103607293224154
2015-02;0.29987422542730585
2015-03;0.3094556088291946
2015-04;0.2701466536939674
2015-05;0.27840747503952884
2015-06;0.26014582860244506
2015-07;0.29249972970281063
2015-08;0.25866773677845883
2015-09;0.24020750272142433
2015-10;0.25917786003273424
2015-11;0.28130052951831264
2015-12;0.30235184250553904
2016-01;0.2923680503450499
2016-02;0.28705413019759357
2016-03;0.27748017960061705
2016-04;0.32942494209470485
2016-05;0.34048689216188516
2016-06;0.34297593091561435
2016-07;0.30946120978365427
2016-08;0.29769100405307114
2016-09;0.26893624850452547
2016-10;0.2717732586371849
2016-11;0.260119155088249
2016-12;0.2848159628578467
2017-01;0.2592097649550408
2017-02;0.2361661270860257
2017-03;0.25687375569424226
2017-04;0.25851712167711544
2017-05;0.2678659839524026
2017-06;0.28862092193230693
2017-07;0.24831114324364784
2017-08;0.2234931846069365
2017-09;0.2617715897759679
2017-10;0.21495485886092675
2017-11;0.16996638221745988
2017-12;0.16278642374640062
2018-01;0.16890887648421823
2018-02;0.18955807096012683
2018-03;0.17132400338487147
2018-04;0.17898433300819716
2018-05;0.16962638057435145
2018-06;0.15591709489377412
2018-07;0.20063169313908266
2018-08;0.1634000655679156
2018-09;0.20391853000666119
2018-10;0.184103943631323
2018-11;0.1819934830143533
2018-12;0.17833746996328934
2019-01;0.18438974993877782
2019-02;0.17739506095080593
2019-03;0.1566323780995893
2019-04;0.15606256680801006
2019-05;0.181607459697001
2019-06;0.15102067743226585
2019-07;0.16263333054423895
2019-08;0.19465532369348257
2019-09;0.18814009243448082
2019-10;0.20334875081164847
2019-11;0.17951004047273864
2019-12;0.1967104613793946
2020-01;0.18425815575423837
2020-02;0.17533722913619268
2020-03;0.15270787802569366
2020-04;0.14661390332310242
2020-05;0.14874118828545901
2020-06;0.13836728623019348
2020-07;0.1711410439806483
2020-08;0.17416450965312283
2020-09;0.16705635269841027
2020-10;0.14983916836582262
2020-11;0.15951875023470286
2020-12;0.11623201589064845
2021-01;0.1029759232339379
