normalised_date;sentiment
2009-07-01;0.14531128191185474
2009-07-02;0.15433629130590554
2009-07-03;0.15272670043135053
2009-07-04;0.2025299620257153
2009-07-05;0.0545901162941275
2009-07-06;0.0101261380533426
2009-07-07;0.11881227236718075
2009-07-08;0.13581338187894473
2009-07-09;0.13575491780355986
2009-07-10;0.24277651268145445
2009-07-11;0.0637489763730751
2009-07-13;0.0004801930254844023
2009-07-14;0.12945291130763767
2009-07-15;0.23011039000845424
2009-07-16;0.21543177584180603
2009-07-17;0.2491765800106376
2009-07-18;0.1087297452638981
2009-07-20;0.291361719880612
2009-07-21;0.3668665967605326
2009-07-22;0.35440526133797434
2009-07-23;0.2660052710750791
2009-07-24;0.36747647075829293
2009-07-25;0.0076971648954269
2009-07-28;0.0014965527801391
2009-07-30;0.3136501160393104
2009-07-31;0.17467659994316545
2009-08-01;0.09391169275669282
2009-08-03;0.3782206789772743
2009-08-04;0.02705692416324175
2009-08-05;0.5584590631361823
2009-08-06;0.4198470427862122
2009-08-07;0.46627627710322883
2009-08-08;0.30071506712164403
2009-08-10;0.010939387450175732
2009-08-11;0.1639240659259654
2009-08-12;0.43310107269384845
2009-08-13;0.20783909166680004
2009-08-14;0.16081969888454042
2009-08-15;0.14159514873698534
2009-08-17;0.21248141542276697
2009-08-18;0.2539986293268608
2009-08-19;0.26735042945412757
2009-08-20;0.20639518213538668
2009-08-21;0.1279600750636861
2009-08-22;0.35222810402559335
2009-08-23;0.2178544462515771
2009-08-24;0.22714196483648408
2009-08-25;0.11080564104444272
2009-08-27;0.3495168923418736
2009-08-28;0.29435750965067253
2009-08-31;0.3272698308823971
2009-09-01;0.11972139945933688
2009-09-02;0.12240390939869114
2009-09-03;0.16076210868620164
2009-09-04;0.2493819663080692
2009-09-05;0.2719165465372581
2009-09-07;0.1784311578145993
2009-09-08;0.5868104096346912
2009-09-09;0.18412108030783206
2009-09-10;0.07644630471595153
2009-09-11;0.09621845537039796
2009-09-12;0.1583356734232484
2009-09-14;0.3086431795953031
2009-09-15;0.1818811970347593
2009-09-16;0.09168988102929224
2009-09-17;0.11449032966787014
2009-09-18;0.2938247866095885
2009-09-19;0.1772292570043871
2009-09-21;0.1557776319931149
2009-09-22;0.04766568163174865
2009-09-23;0.1085110415605921
2009-09-24;0.1591866783006942
2009-09-25;0.004249520362141402
2009-09-26;0.05369546022882835
2009-09-28;0.2418835056712175
2009-09-29;0.18919230696127118
2009-09-30;0.12453064803512368
2009-10-01;0.14496593642302716
2009-10-02;0.08261649096074368
2009-10-03;0.12051853437743339
2009-10-05;0.12056282144633328
2009-10-06;0.10833199194407657
2009-10-07;0.23974531186942075
2009-10-08;0.3519305302757214
2009-10-09;0.2077337846106208
2009-10-10;0.19341407339814706
2009-10-12;0.14094735197003636
2009-10-13;0.39231611647967835
2009-10-14;0.14766468886912937
2009-10-15;0.218164205966984
2009-10-16;0.16894656464889066
2009-10-17;0.36188247557979847
2009-10-19;0.6586137747874754
2009-10-20;0.23768902354075389
2009-10-21;0.4411428404441773
