trimester;sentiment;sentiment_truncated;favorites;retweets;replies
2017-01-01;0.4059333076732339;0.7134615384615385;14.334615384615384;9.523076923076923;0.4153846153846154
2017-04-01;0.3066541653612532;0.5642286199335078;4.058923392516093;2.323406663365636;0.4077951474853222
2017-07-01;0.27423235553187775;0.5179250310890033;4.1128797299698;2.26189376443418;0.7702256173387814
2017-10-01;0.293210327210711;0.532422159941644;5.748838637846969;3.4009674818597153;1.3542058586401504
2018-01-01;0.2745502782525601;0.4889476626671827;7.699006579796156;3.4814002494301812;0.9334709499849482
2018-04-01;0.26439245970814773;0.47684114927344784;8.060848745046234;4.042519815059445;1.0690637384412154
2018-07-01;0.26138369486824303;0.4716746693623115;7.928902367113133;3.4526998567938674;1.1059304186673407
2018-10-01;0.260470175422926;0.46487428194745267;8.580516056125813;3.6414445804689706;1.9245691684716075
2019-01-01;0.2794168928720658;0.48521130466817536;10.860323140887322;5.104573443502973;2.3585600757854848
2019-04-01;0.2579575561983741;0.46619169601878535;10.691482548831251;4.1438253815775425;1.74501013982282
2019-07-01;0.25105535854302974;0.4567421426157486;10.329897487890053;3.5134617550974427;1.7126844654725695
2019-10-01;0.25327732576941353;0.4549429196016517;11.810104444984212;4.549186300704396;2.2480446927374302
2020-01-01;0.22035143590509265;0.4082213160147007;13.162211146352515;5.497306549866586;2.8057695212203595
2020-04-01;0.20477927905304208;0.38095432967752496;9.820592568341791;2.9251104927156653;1.3538222294974627
